dim,ga_mean,ga_std,gb_mean,gb_std,ga_minus_b_mean,ga_minus_b_std,count
430,1.0342788527850644e-06,1.9398057702346705e-06,0.000279009691439569,0.0007218768587335944,-0.00027797542861662805,0.0007217201637104154,50
431,8.141503349179402e-05,0.00014573267253581434,1.0339381333324127e-05,2.9095172067172825e-05,7.107566489139572e-05,0.00014870514860376716,50
432,0.00012750254245474935,0.0002761276555247605,0.0020232952665537596,0.003411178709939122,-0.0018957926658913493,0.0034063667990267277,50
433,0.001252154354006052,0.002168339677155018,1.4488210581475869e-05,4.422069469001144e-05,0.0012376661179587245,0.0021617498714476824,50
434,4.595265272655524e-05,9.637752373237163e-05,0.002803212497383356,0.005822297651320696,-0.0027572601102292538,0.005813027732074261,50
435,0.000314482458634302,0.000657997909002006,0.00016222475096583366,0.000564789806958288,0.00015225775132421404,0.0009069193038158119,50
436,5.162478828424355e-06,1.1861524399137124e-05,9.858146222541109e-05,0.0005701619666069746,-9.34189956751652e-05,0.0005709461402148008,50
437,7.982952752172423e-07,1.6509690112798125e-06,2.7730454803531757e-06,6.326397851807997e-06,-1.9747501482925145e-06,5.195669928070856e-06,50
438,1.750853880366776e-05,3.141222259728238e-05,3.2201310506962955e-09,1.2076401212368637e-08,1.750531737343408e-05,3.140793342026882e-05,50
439,4.66859226833094e-08,1.4257574321163702e-07,1.2186168532934971e-05,1.927277844515629e-05,-1.2139485079387669e-05,1.9223934941692278e-05,50
440,1.5383346152475497e-08,5.483520126858821e-08,0.00062521145446226,0.0009640928474254906,-0.000625195971224457,0.0009640936623327434,50
441,4.6426899302787206e-07,1.2824194755012286e-06,3.452851524343714e-05,5.652082109008916e-05,-3.4064240026054904e-05,5.624196637654677e-05,50
442,5.702924568140588e-07,1.6499991488672094e-06,9.20991567454621e-07,1.659848635426897e-06,-3.50699167483981e-07,1.8282531755176024e-06,50
443,5.5874931348398604e-08,1.7451148437430675e-07,7.952531291266496e-07,1.2483890259318287e-06,-7.39378208436392e-07,1.2044657751175691e-06,50
444,3.793776670590887e-08,1.1424509693824803e-07,4.194722436068332e-08,1.0052563226281563e-07,-4.0094438880089456e-09,9.392652344786256e-08,50
445,5.570167971313822e-08,2.0457179061850184e-07,1.7855997569427018e-08,7.099668408727666e-08,3.784568036735436e-08,2.0515221876848955e-07,50
446,3.5281135790654616e-09,1.2816876449051051e-08,1.6315585526172072e-05,3.7499525205930695e-05,-1.6312056686729193e-05,3.749595634872094e-05,50
