dim,ga_mean,ga_std,gb_mean,gb_std,ga_minus_b_mean,ga_minus_b_std,count
208,5.7989254855783656e-05,0.00014888739679008722,0.0013794881524518132,0.0040190271101891994,-0.001321499003097415,0.004021302796900272,203
209,0.001579300849698484,0.0035844321828335524,8.240387614932843e-06,1.8557770090410486e-05,0.001571059925481677,0.0035810561385005713,203
210,0.00505192531272769,0.009277749806642532,0.012452112510800362,0.01748703606426716,-0.007400187198072672,0.021158674731850624,203
211,0.001577567309141159,0.0024377983063459396,0.0015323709230870008,0.002386631676927209,4.519701542449184e-05,0.0036591882817447186,203
212,0.0013476582244038582,0.0016170857707038522,0.00396411307156086,0.007281645201146603,-0.002616454614326358,0.007742876652628183,203
213,0.0013434060383588076,0.005296335089951754,0.0004048059636261314,0.0005365208489820361,0.0009385997545905411,0.005335395690053701,203
214,0.0013692176435142756,0.0026530881877988577,0.0030021059792488813,0.003984551411122084,-0.0016328876372426748,0.005108763929456472,203
215,0.0005414073239080608,0.001101218513213098,0.026881305500864983,0.08651024103164673,-0.02633989229798317,0.08664539456367493,203
216,0.0005280683981254697,0.000611865718383342,6.799045513616875e-05,0.0001332174288108945,0.0004600782413035631,0.0006007232004776597,203
217,5.349918137653731e-05,0.00018601866031531245,0.0037786755710840225,0.005530129186809063,-0.0037251769099384546,0.0055404105223715305,203
218,0.00049524602945894,0.0009187889518216252,0.0006143054342828691,0.002298136940225959,-0.00011905941209988669,0.0025489111430943012,203
219,1.4307319361250848e-05,2.5167062631226145e-05,1.9414192138356157e-06,5.271146164886886e-06,1.236589923792053e-05,2.3450931621482596e-05,203
220,0.003999288659542799,0.008486623875796795,1.9380672711122315e-06,5.973618954158155e-06,0.00399734964594245,0.008487110026180744,203
221,4.981642973689304e-07,1.1247119573454256e-06,4.569902557705063e-06,1.1828944479930215e-05,-4.071738658240065e-06,1.1223428373341449e-05,203
222,3.518691471526836e-07,8.959110573414364e-07,7.682334057790285e-07,2.186667643400142e-06,-4.1636434389147325e-07,1.8635853393789148e-06,203
223,6.080504704186751e-07,1.713236770228832e-06,5.854173537045426e-07,1.8633032823345275e-06,2.263309895056409e-08,1.8951909623865504e-06,203
