dim,gate_a_anchor,gate_b_anchor,gate_a_minus_b_anchor
103,0.0004928205744363368,3.9022793885123974e-09,0.0004928166745230556
104,6.727095751557499e-05,1.446308212083025e-10,6.727081199642271e-05
105,8.140624413499609e-05,2.0146521950703544e-10,8.140604040818289e-05
106,4.854447066549028e-09,3.3688311305013485e-06,-3.3639767025306355e-06
107,9.124738298282864e-09,3.6814427062381583e-09,5.443295592044706e-09
108,3.288458572114905e-08,2.7154189297107223e-07,-2.386573214607779e-07
109,3.2135178962278133e-09,1.1201455318854414e-09,2.093372364342372e-09
110,1.1528788590453587e-08,2.4560428690811875e-10,1.128318416476759e-08
111,2.129425880070812e-08,6.947955544234219e-10,2.0599463468329304e-08
112,2.60730601553405e-08,1.4096102063376748e-09,2.4663449949002825e-08
113,1.1936661437061957e-08,4.5844589235954913e-10,1.1478215711235862e-08
114,5.578446593546005e-09,2.1094333224613848e-10,5.367503330688805e-09
115,8.966432574197825e-08,4.830954525303355e-10,8.918122773593495e-08
116,2.498313200760549e-08,1.4099645062604083e-10,2.4842135459834935e-08
117,2.3143199356923105e-08,1.3257030140323423e-08,9.886169216599683e-09
118,2.162912959846608e-09,2.0270016221068943e-10,1.9602128809026453e-09
119,4.108807843294926e-05,5.672930458722192e-10,4.1087510908255354e-05
120,1.597022247779023e-07,2.5556494165357435e-06,-2.395947149125277e-06
121,4.488073912511936e-08,0.005547757726162672,-0.0055477130226790905
122,2.1290576114552096e-05,5.925857582411709e-09,2.1284649847075343e-05
123,0.03720787167549133,2.69322253387827e-08,0.037207845598459244
124,0.003161085769534111,1.866765231284262e-08,0.0031610671430826187
125,1.9460335352050606e-06,0.0011729872785508633,-0.0011710412800312042
126,4.779997834702954e-05,0.043568238615989685,-0.04352043941617012
127,3.252781607443467e-05,2.7728341592592187e-05,4.799474481842481e-06
128,4.054337114212103e-05,5.1646442678077165e-09,4.053820521221496e-05
129,6.469051004387438e-05,4.7174421524687205e-07,6.421876605600119e-05
130,4.087052002432756e-05,3.922768030406587e-07,4.0478244045516476e-05
131,1.3846407398432348e-07,1.9031245983569534e-06,-1.7646605101617752e-06
132,6.60720672840398e-07,2.8729183476627895e-09,6.578477496077539e-07
133,2.3924524583662787e-08,9.911700349363173e-10,2.2933354770771075e-08
134,4.625283963832771e-06,4.216264670731107e-09,4.621067546395352e-06
135,2.35920410318613e-07,1.358150480967879e-09,2.3456226472262642e-07
136,2.353708161706436e-08,2.267651399989745e-09,2.1269430661163824e-08
137,1.470196764330467e-07,6.409344721625132e-10,1.4637873846368166e-07
138,3.617849486658997e-08,1.4025327566002943e-09,3.477596166590047e-08
139,5.136659098070595e-08,1.6718466888665517e-10,5.1199407380408957e-08
140,8.334833268008879e-09,7.417774727791482e-10,7.593055961763184e-09
141,3.7530739405156055e-08,6.279661235453204e-10,3.6902772393432315e-08
142,1.0971636932310957e-08,6.344903491495302e-10,1.033714625009452e-08
143,1.8906158416598373e-08,2.4324080527549086e-09,1.6473750363843465e-08
144,3.228535945254407e-07,5.199997654692368e-10,3.2233359092970204e-07
145,3.8097902610445544e-09,1.3595421455292467e-09,2.4502480044930053e-09
146,2.4877758519892268e-08,6.302806286839768e-05,-6.300318636931479e-05
147,1.2603390132426284e-05,2.178750069248281e-09,1.2601210983120836e-05
148,2.6422574137541233e-06,1.190546417006999e-08,2.63035190073424e-06
149,3.3073689564844244e-07,4.190290201222524e-05,-4.157216608291492e-05
150,3.327538070152514e-05,3.8305381167447194e-05,-5.030000465922058e-06
151,0.0002892723714467138,1.8019813978753518e-06,0.0002874703786801547
152,2.4620578187750652e-05,1.2801374396076426e-05,1.1819203791674227e-05
