dim,ga_mean,ga_std,gb_mean,gb_std,ga_minus_b_mean,ga_minus_b_std,count
54,1.3458203795835288e-07,6.544364055116603e-07,5.570021954781623e-08,1.7681935560176498e-07,7.888178998882722e-08,4.995410449737392e-07,59
55,1.6492708709847648e-07,8.178005828085588e-07,8.229643100321482e-08,2.794627107505221e-07,8.263067741154373e-08,5.629252086691849e-07,59
56,1.6372088396110485e-07,7.052203159219061e-07,5.754194987162009e-08,2.14805865539347e-07,1.0617893764219843e-07,5.040523660682084e-07,59
57,3.2459263366035884e-07,1.4795015204072115e-06,5.789366497310766e-08,1.891816481247588e-07,2.6669900421438797e-07,1.307507773162797e-06,59
58,3.865636415412155e-07,1.7097631825890858e-06,8.341201862549497e-08,2.8925919082212204e-07,3.0315166554828465e-07,1.4392666116691544e-06,59
59,1.3239557006272662e-07,6.272077825997258e-07,9.593010474873154e-08,2.992138377067022e-07,3.646546531399508e-08,3.7961748944326246e-07,59
60,4.143539058532042e-07,1.7436634607292945e-06,3.3228261031581496e-08,1.1011647416125925e-07,3.8112560218905855e-07,1.641652829675877e-06,59
61,1.7041347177837451e-07,8.77095430951158e-07,5.6691565220035045e-08,1.9544040696928278e-07,1.1372188879477108e-07,7.022362069619703e-07,59
62,3.40066350190682e-07,1.4443692180066137e-06,4.5465633036201325e-08,1.6737047303649888e-07,2.9460073847076274e-07,1.2850671282649273e-06,59
63,1.7975615662635391e-07,8.75842147252115e-07,1.3119041852860391e-07,4.297640145978221e-07,4.856571322875425e-08,4.959256898473541e-07,59
64,3.0308939358292264e-07,1.247695081474376e-06,7.625902043173483e-08,2.6485366788620013e-07,2.268303234131963e-07,9.991690603783354e-07,59
65,1.0784480508618799e-07,5.321017511050741e-07,9.894336017168825e-08,2.954017190859304e-07,8.901476888922844e-09,3.048884593681578e-07,59
66,2.0241118647845724e-07,1.006010052151396e-06,1.4968107109325501e-07,4.853364430346119e-07,5.273015091233901e-08,5.916791110394115e-07,59
67,1.1636348062893376e-07,6.029558221598563e-07,4.8361300741817104e-08,1.588949203323864e-07,6.80021727816893e-08,4.622053495495493e-07,59
68,4.279537506590714e-07,1.7686080582279828e-06,8.992157063403283e-08,2.95200749178548e-07,3.3803218002503854e-07,1.4972406461311039e-06,59
69,3.0641189141533687e-07,1.4843365079286741e-06,8.980489951682102e-08,2.8912253924318065e-07,2.1660696347680641e-07,1.2207140116515802e-06,59
